iter	AUC	Logloss
0	0.6874017238	0.6765373618
1	0.7004718814	0.6636295043
2	0.7082540071	0.65134432
3	0.7119712033	0.6415830328
4	0.7121570981	0.6321917768
5	0.7122684172	0.6221435529
6	0.7138863111	0.6157328126
7	0.7138420212	0.6090738757
8	0.7145433397	0.603662018
9	0.7147135898	0.5989784397
10	0.7152937015	0.5944967213
11	0.715616163	0.5898680667
12	0.7159163799	0.5858839066
13	0.7160992244	0.5826497276
14	0.7163022092	0.5798293922
15	0.7213544669	0.5761566058
16	0.7214943157	0.5735868782
17	0.7212869192	0.5713733658
18	0.7259791167	0.5687377306
19	0.7280468881	0.566280447
20	0.7279515833	0.5639909597
21	0.7279676725	0.5622579035
22	0.7279335571	0.5612291945
23	0.7277594292	0.560212231
24	0.7277230545	0.5592104216
25	0.7276167323	0.5585730251
26	0.7298738615	0.5569811089
27	0.7301742429	0.5557753819
28	0.7299910173	0.5551416959
29	0.7302183943	0.5543949911
30	0.7301656917	0.5538842442
31	0.7302724017	0.5533500513
32	0.7305542258	0.552628183
33	0.7304384064	0.5521598909
34	0.7304649771	0.5517988732
35	0.7304788918	0.5513679008
36	0.7306254444	0.5505296437
37	0.7307546318	0.5496779582
38	0.7308225519	0.5493073373
39	0.7309465905	0.5487946051
40	0.7308928583	0.5485322996
41	0.7310391308	0.5483040351
42	0.7310380551	0.5482365915
43	0.7313725019	0.5477489163
44	0.7313725019	0.5476937574
45	0.7328783023	0.5468495041
46	0.7345425693	0.5459132436
47	0.7365347296	0.5446437507
48	0.7385381526	0.5435299815
49	0.7401953157	0.5426042504
50	0.740139838	0.5424296861
51	0.7401291324	0.542383304
52	0.741583684	0.5414486418
53	0.7423455251	0.540818227
54	0.7428807956	0.5402152854
55	0.7434399771	0.5397695005
56	0.7434399771	0.5397538308
57	0.7443064085	0.5390358113
58	0.7442863597	0.5389629066
59	0.7448192361	0.5383053062
60	0.7452240423	0.5378701239
61	0.7456988989	0.53718748
62	0.7458589062	0.5368548879
63	0.7460354425	0.5362331667
64	0.7464405921	0.5356733661
65	0.7465987799	0.5352900153
66	0.7468496581	0.5351664073
67	0.7470126059	0.534766008
68	0.7478670229	0.5342245359
69	0.7482878472	0.5340254131
70	0.7487328144	0.5335438514
71	0.748946702	0.5331142979
72	0.748946702	0.5331108929
73	0.7490079934	0.533052878
74	0.7489836185	0.5330395023
75	0.7494654339	0.5328765522
76	0.7497301074	0.5324910249
77	0.7503940438	0.5321943993
78	0.7507557859	0.5319974806
79	0.7508098972	0.5317790925
80	0.7509117018	0.5316730229
81	0.7511220889	0.53134168
82	0.7512513052	0.5308964987
83	0.7512546094	0.5308870228
84	0.7512832546	0.5308544331
85	0.7515209841	0.5307318764
86	0.7515209822	0.5307309323
87	0.7515885703	0.5306813071
88	0.7516089136	0.530462731
89	0.7517900627	0.530107211
90	0.7519720451	0.52984593
91	0.7523501834	0.5296279419
92	0.7524679531	0.5291899741
93	0.7526339338	0.5290804581
94	0.7528649701	0.5289428793
95	0.7532547782	0.528723304
96	0.7533137968	0.5284386736
97	0.7534680616	0.528342685
98	0.7535722621	0.5281940182
99	0.7537995592	0.5280487152
100	0.7541365223	0.5278581916
101	0.7541248814	0.5278459081
102	0.7542439193	0.5272956578
103	0.7542687773	0.527152921
104	0.7542687773	0.527152852
105	0.754461881	0.5269137265
106	0.7547629706	0.5267475722
107	0.7549827028	0.5266267478
108	0.7549769468	0.5265101476
