iter	Passed	Remaining
0	26	32079
1	63	38084
2	101	40611
3	139	41662
4	175	42027
5	211	42094
6	247	42181
7	284	42321
8	321	42580
9	345	41148
10	380	41167
11	417	41374
12	457	41781
13	488	41406
14	524	41411
15	558	41362
16	594	41375
17	619	40690
18	655	40724
19	692	40833
20	727	40843
21	762	40838
22	796	40762
23	824	40395
24	856	40270
25	889	40160
26	925	40189
27	958	40129
28	983	39705
29	1017	39679
30	1053	39732
31	1087	39708
32	1124	39768
33	1148	39380
34	1181	39329
35	1216	39317
36	1248	39239
37	1283	39249
38	1319	39284
39	1355	39320
40	1378	38975
41	1414	38991
42	1426	38383
43	1461	38387
44	1468	37690
45	1502	37688
46	1541	37821
47	1579	37905
48	1616	37982
49	1652	38008
50	1692	38123
51	1710	37751
52	1744	37761
53	1780	37781
54	1811	37715
55	1844	37677
56	1852	37146
57	1890	37214
58	1904	36827
59	1941	36894
60	1976	36901
61	2012	36939
62	2052	37041
63	2089	37082
64	2123	37085
65	2158	37082
66	2196	37138
67	2226	37060
68	2267	37175
69	2307	37247
70	2340	37220
71	2379	37277
72	2387	36857
73	2420	36836
74	2431	36475
75	2456	36331
76	2499	36453
77	2537	36495
78	2573	36518
79	2597	36369
80	2633	36382
81	2669	36398
82	2707	36437
83	2719	36124
84	2751	36088
85	2786	36091
86	2798	35798
87	2829	35749
88	2858	35677
89	2892	35676
90	2931	35719
91	2973	35815
92	3011	35851
93	3051	35904
94	3090	35945
95	3131	36010
96	3169	36043
97	3209	36090
98	3244	36085
99	3282	36108
100	3317	36098
101	3327	35817
102	3365	35842
103	3392	35752
104	3399	35451
105	3437	35472
106	3481	35560
107	3517	35561
108	3536	35400
109	3569	35367
110	3609	35414
111	3648	35439
112	3683	35433
113	3716	35404
114	3754	35423
115	3774	35267
116	3810	35270
117	3850	35310
118	3884	35290
119	3920	35282
120	3954	35261
121	3991	35270
122	4006	35080
123	4049	35136
124	4087	35156
125	4125	35161
126	4133	34921
127	4171	34935
128	4205	34917
129	4250	34985
130	4289	35002
131	4325	34998
132	4363	35003
133	4400	35008
134	4439	35019
135	4474	35003
136	4489	34834
137	4512	34724
138	4545	34693
139	4557	34506
140	4594	34509
141	4608	34335
142	4657	34425
143	4705	34508
144	4743	34513
145	4785	34545
146	4826	34572
147	4848	34461
148	4888	34480
149	4930	34511
150	4967	34511
151	5002	34493
152	5046	34530
153	5092	34589
154	5130	34587
155	5168	34590
156	5205	34581
157	5239	34554
158	5278	34561
159	5313	34540
160	5352	34542
161	5392	34553
162	5432	34563
163	5469	34552
164	5510	34566
165	5552	34583
166	5596	34615
167	5608	34454
168	5649	34465
169	5690	34477
170	5728	34473
171	5765	34459
172	5799	34426
173	5833	34395
174	5873	34401
175	5914	34413
176	5947	34375
177	5959	34214
178	5995	34199
179	6034	34194
180	6070	34175
181	6111	34182
182	6145	34151
183	6177	34111
184	6214	34093
185	6250	34074
186	6290	34073
187	6327	34062
188	6370	34076
189	6409	34072
190	6452	34087
191	6488	34063
192	6525	34047
193	6562	34030
194	6599	34012
195	6653	34081
196	6697	34097
197	6732	34069
198	6745	33930
199	6779	33898
200	6816	33879
201	6855	33869
202	6890	33843
203	6930	33834
204	6974	33852
205	7015	33851
206	7054	33840
207	7090	33815
208	7135	33835
209	7171	33807
210	7212	33804
211	7253	33803
212	7290	33783
213	7331	33781
214	7375	33790
215	7413	33771
216	7445	33727
217	7479	33690
218	7518	33678
219	7548	33625
220	7588	33616
221	7625	33595
222	7664	33580
223	7705	33573
224	7744	33559
225	7781	33536
226	7820	33522
227	7852	33476
228	7892	33465
229	7937	33477
230	7983	33490
231	8019	33461
232	8061	33455
233	8101	33444
234	8138	33419
235	8173	33385
236	8212	33368
237	8250	33349
238	8284	33313
